transaction_id,amount_gbp,hour_of_day,merchant_category,payment_method,transaction_velocity,location_risk,fraud_label,timestamp
30,656.72,18,fuel,mobile_wallet,8,5,0,2025-01-01 01:27:00
31,1529.99,17,travel,mobile_wallet,4,3,0,2025-01-01 02:00:00
32,1967.28,21,travel,credit_card,7,5,0,2025-01-01 02:04:00
33,1038.8,14,groceries,debit_card,9,2,0,2025-01-01 02:40:00
34,645.45,20,electronics,debit_card,6,8,0,2025-01-01 01:39:00
35,1781.36,2,electronics,debit_card,15,5,1,2025-01-01 01:42:00
36,1015.0,0,subscriptions,mobile_wallet,13,3,0,2025-01-01 02:20:00
37,1450.46,3,fashion,bank_transfer,3,9,0,2025-01-01 01:48:00
38,1882.34,19,travel,bank_transfer,10,6,0,2025-01-01 00:37:00
39,334.43,11,restaurants,mobile_wallet,4,7,0,2025-01-01 01:54:00
40,1144.37,2,fashion,credit_card,11,5,0,2025-01-01 01:57:00
41,1102.35,0,travel,credit_card,15,3,0,2025-01-01 00:40:00
42,1830.81,19,gaming,credit_card,7,4,0,2025-01-01 02:03:00
43,1227.77,15,restaurants,bank_transfer,14,6,0,2025-01-01 03:30:00
44,1166.33,11,subscriptions,credit_card,13,3,0,2025-01-01 02:09:00
45,336.15,22,electronics,credit_card,12,7,0,2025-01-01 03:40:00
46,1574.15,5,gaming,bank_transfer,7,0,0,2025-01-01 02:15:00
47,796.89,17,gaming,bank_transfer,5,0,0,2025-01-01 01:32:00
48,1435.71,22,fashion,debit_card,4,2,0,2025-01-01 02:21:00
49,406.51,13,fuel,mobile_wallet,4,7,0,2025-01-01 02:24:00
50,17.5,6,fashion,debit_card,4,6,0,2025-01-01 03:16:00
51,310.31,5,groceries,mobile_wallet,2,0,0,2025-01-01 01:40:00
52,1180.82,3,groceries,bank_transfer,15,8,0,2025-01-01 04:15:00
53,658.55,12,fashion,bank_transfer,14,7,0,2025-01-01 04:20:00
54,628.19,23,subscriptions,bank_transfer,1,8,0,2025-01-01 03:32:00
55,1483.4,18,restaurants,debit_card,6,10,0,2025-01-01 01:48:00
56,462.9,7,subscriptions,debit_card,15,1,0,2025-01-01 03:40:00
57,565.0,8,travel,credit_card,5,5,0,2025-01-01 04:40:00
58,379.77,0,fashion,debit_card,13,7,0,2025-01-01 00:57:00
59,1557.34,13,groceries,credit_card,8,6,0,2025-01-01 03:52:00
60,821.3,22,groceries,debit_card,3,3,0,2025-01-01 04:55:00
61,697.05,8,fashion,debit_card,1,1,0,2025-01-01 05:00:00
62,1024.23,18,electronics,mobile_wallet,4,5,0,2025-01-01 04:04:00
63,1219.71,18,groceries,credit_card,3,5,0,2025-01-01 01:02:00
64,189.22,3,electronics,bank_transfer,14,9,1,2025-01-01 02:06:00
65,1611.57,15,groceries,bank_transfer,3,1,0,2025-01-01 01:04:00
66,1624.4,20,fuel,mobile_wallet,14,6,0,2025-01-01 02:10:00
67,1789.58,12,gaming,debit_card,7,10,1,2025-01-01 01:06:00
68,1601.39,18,electronics,mobile_wallet,12,8,1,2025-01-01 02:14:00
69,106.89,20,restaurants,credit_card,8,0,0,2025-01-01 03:24:00
70,559.9,14,fuel,credit_card,13,5,0,2025-01-01 01:09:00
71,779.29,10,subscriptions,mobile_wallet,1,3,0,2025-01-01 03:30:00
72,1990.73,22,fuel,bank_transfer,14,4,0,2025-01-01 05:55:00
73,1765.54,9,subscriptions,bank_transfer,1,7,0,2025-01-01 03:36:00
74,234.26,12,subscriptions,credit_card,2,7,0,2025-01-01 06:05:00
75,1517.25,12,groceries,mobile_wallet,8,7,0,2025-01-01 03:42:00
76,1847.94,22,fashion,debit_card,4,3,0,2025-01-01 01:15:00
77,446.54,23,subscriptions,credit_card,11,3,0,2025-01-01 02:32:00
78,702.99,0,fashion,mobile_wallet,11,8,0,2025-01-01 05:08:00
79,1426.97,22,gaming,credit_card,12,5,1,2025-01-01 03:54:00
80,327.27,1,travel,mobile_wallet,12,2,0,2025-01-01 01:19:00
81,1334.21,1,restaurants,bank_transfer,5,1,0,2025-01-01 01:20:00
82,1804.04,12,subscriptions,debit_card,9,2,0,2025-01-01 01:21:00
83,750.03,0,groceries,mobile_wallet,7,7,0,2025-01-01 02:44:00
84,577.83,8,subscriptions,debit_card,15,1,0,2025-01-01 01:23:00
85,552.44,16,gaming,mobile_wallet,10,4,0,2025-01-01 05:36:00
86,256.99,7,restaurants,bank_transfer,5,10,0,2025-01-01 07:05:00
87,709.13,10,electronics,debit_card,15,10,1,2025-01-01 04:18:00
88,1937.6,11,subscriptions,mobile_wallet,10,8,0,2025-01-01 04:21:00
89,1174.48,6,fashion,bank_transfer,10,7,0,2025-01-01 02:56:00
90,1379.16,10,fuel,debit_card,7,7,0,2025-01-01 04:27:00
91,645.68,15,electronics,debit_card,1,8,0,2025-01-01 01:30:00
92,1954.74,16,fuel,bank_transfer,4,6,0,2025-01-01 04:33:00
93,991.26,6,gaming,bank_transfer,3,9,0,2025-01-01 07:40:00
94,561.19,16,gaming,mobile_wallet,4,2,0,2025-01-01 06:12:00
95,1566.07,9,fashion,mobile_wallet,11,0,0,2025-01-01 01:34:00
96,523.27,8,fashion,debit_card,4,7,0,2025-01-01 07:55:00
97,528.43,17,subscriptions,credit_card,15,8,0,2025-01-01 03:12:00
98,1364.98,18,gaming,mobile_wallet,1,7,0,2025-01-01 01:37:00
99,739.22,18,electronics,mobile_wallet,8,0,0,2025-01-01 01:38:00
100,1366.01,1,fuel,credit_card,5,10,0,2025-01-01 06:36:00
101,933.84,11,subscriptions,debit_card,9,5,0,2025-01-01 05:00:00
102,681.27,8,restaurants,bank_transfer,4,5,0,2025-01-01 05:03:00
103,1496.25,9,travel,credit_card,4,10,1,2025-01-01 01:42:00
104,723.14,20,groceries,credit_card,6,4,0,2025-01-01 01:43:00
105,1872.75,21,electronics,mobile_wallet,14,7,1,2025-01-01 08:40:00
106,1603.63,20,groceries,credit_card,15,5,0,2025-01-01 05:15:00
107,1586.43,3,gaming,debit_card,6,4,0,2025-01-01 07:04:00
108,823.21,15,electronics,credit_card,4,1,0,2025-01-01 07:08:00
109,1602.36,3,restaurants,mobile_wallet,2,5,0,2025-01-01 05:24:00
110,988.34,5,travel,bank_transfer,6,4,0,2025-01-01 07:16:00
111,375.15,11,fashion,credit_card,12,7,0,2025-01-01 03:40:00
112,1715.94,1,fuel,debit_card,9,4,0,2025-01-01 05:33:00
113,1736.54,6,subscriptions,mobile_wallet,9,10,0,2025-01-01 05:36:00
114,1487.98,23,groceries,debit_card,15,1,0,2025-01-01 09:25:00
115,1954.53,2,fashion,bank_transfer,1,1,0,2025-01-01 09:30:00
116,1068.87,20,fuel,mobile_wallet,15,9,0,2025-01-01 03:50:00
117,479.46,11,electronics,credit_card,9,4,0,2025-01-01 07:44:00
118,203.73,13,subscriptions,bank_transfer,1,1,0,2025-01-01 01:57:00
119,679.1,1,electronics,debit_card,8,4,0,2025-01-01 09:50:00
120,1990.08,12,groceries,bank_transfer,12,8,1,2025-01-01 01:59:00
121,1349.52,1,groceries,credit_card,8,8,0,2025-01-01 08:00:00
122,357.24,2,restaurants,mobile_wallet,8,7,0,2025-01-01 08:04:00
123,998.9,15,groceries,bank_transfer,13,1,0,2025-01-01 02:02:00
124,1908.25,2,groceries,mobile_wallet,13,5,0,2025-01-01 06:09:00
125,503.29,16,gaming,bank_transfer,7,2,0,2025-01-01 08:16:00
126,1629.98,21,travel,credit_card,11,6,1,2025-01-01 08:20:00
127,431.15,1,restaurants,debit_card,8,3,0,2025-01-01 10:30:00
128,761.92,17,electronics,bank_transfer,11,0,0,2025-01-01 10:35:00
129,1585.17,21,gaming,debit_card,8,6,0,2025-01-01 10:40:00
130,1865.47,21,electronics,credit_card,4,7,0,2025-01-01 08:36:00
131,203.79,2,fashion,credit_card,8,2,0,2025-01-01 04:20:00
132,1010.74,20,electronics,credit_card,12,2,0,2025-01-01 04:22:00
133,796.31,21,travel,debit_card,3,9,0,2025-01-01 11:00:00
134,472.6,17,groceries,credit_card,11,8,0,2025-01-01 08:52:00
135,865.19,3,groceries,debit_card,3,9,0,2025-01-01 04:28:00
136,561.13,2,travel,bank_transfer,3,7,0,2025-01-01 09:00:00
137,1572.93,16,fashion,mobile_wallet,3,6,0,2025-01-01 11:20:00
138,646.89,0,groceries,mobile_wallet,3,5,0,2025-01-01 04:34:00
139,139.98,3,fuel,debit_card,11,2,0,2025-01-01 04:36:00
140,1579.75,14,groceries,bank_transfer,2,2,0,2025-01-01 04:38:00
141,704.28,17,subscriptions,credit_card,5,7,0,2025-01-01 11:40:00
142,584.33,3,groceries,credit_card,15,10,0,2025-01-01 11:45:00
143,1585.75,16,groceries,debit_card,3,9,0,2025-01-01 07:06:00
144,235.89,9,fashion,debit_card,12,10,0,2025-01-01 04:46:00
145,27.86,12,gaming,debit_card,2,6,0,2025-01-01 04:48:00
146,1075.3,3,travel,credit_card,3,2,0,2025-01-01 12:05:00
147,1114.94,13,electronics,debit_card,3,9,0,2025-01-01 02:26:00
148,432.19,22,fashion,mobile_wallet,12,3,0,2025-01-01 02:27:00
149,919.39,14,groceries,bank_transfer,13,9,0,2025-01-01 09:52:00
150,1114.58,19,restaurants,debit_card,9,6,0,2025-01-01 12:25:00
151,1827.44,1,fuel,mobile_wallet,14,9,1,2025-01-01 07:30:00
152,1280.33,17,travel,bank_transfer,4,9,1,2025-01-01 02:31:00
153,179.25,10,fuel,bank_transfer,10,3,0,2025-01-01 12:40:00
154,492.53,22,subscriptions,debit_card,12,6,0,2025-01-01 05:06:00
155,1110.42,2,fashion,debit_card,1,0,0,2025-01-01 05:08:00
156,667.67,20,travel,bank_transfer,12,4,0,2025-01-01 10:20:00
157,1798.05,4,electronics,debit_card,5,8,1,2025-01-01 02:36:00
158,570.47,8,fuel,mobile_wallet,3,4,0,2025-01-01 13:05:00
159,605.08,6,gaming,mobile_wallet,4,6,0,2025-01-01 02:38:00
160,886.08,20,restaurants,credit_card,9,7,0,2025-01-01 02:39:00
161,422.78,7,groceries,mobile_wallet,12,8,0,2025-01-01 02:40:00
162,1354.38,22,restaurants,credit_card,7,2,0,2025-01-01 08:03:00
163,1272.98,19,gaming,bank_transfer,13,4,1,2025-01-01 13:30:00
164,19.64,3,groceries,bank_transfer,15,0,0,2025-01-01 02:43:00
165,723.13,22,fashion,bank_transfer,3,10,0,2025-01-01 05:28:00
166,46.45,13,restaurants,bank_transfer,6,4,0,2025-01-01 08:15:00
167,806.9,10,groceries,mobile_wallet,10,9,0,2025-01-01 13:50:00
168,1944.42,20,travel,mobile_wallet,10,5,0,2025-01-01 02:47:00
169,1444.39,11,travel,mobile_wallet,11,3,1,2025-01-01 02:48:00
170,776.11,15,electronics,credit_card,14,6,0,2025-01-01 02:49:00
171,1430.36,17,restaurants,debit_card,13,3,0,2025-01-01 14:10:00
172,243.07,3,subscriptions,debit_card,13,2,0,2025-01-01 14:15:00
173,1701.8,3,travel,credit_card,7,3,0,2025-01-01 02:52:00
174,675.36,17,groceries,credit_card,12,3,0,2025-01-01 11:32:00
175,1861.4,17,restaurants,credit_card,14,6,0,2025-01-01 11:36:00
176,781.97,7,subscriptions,mobile_wallet,4,7,0,2025-01-01 14:35:00
177,1079.16,11,electronics,bank_transfer,14,2,0,2025-01-01 11:44:00
178,645.09,13,travel,credit_card,5,7,0,2025-01-01 08:51:00
179,858.23,23,gaming,bank_transfer,1,4,0,2025-01-01 14:50:00
180,1016.32,0,travel,bank_transfer,9,5,0,2025-01-01 02:59:00
181,1761.84,10,travel,mobile_wallet,10,8,1,2025-01-01 09:00:00
182,531.25,12,fuel,credit_card,7,7,0,2025-01-01 06:02:00
183,1806.16,14,fuel,bank_transfer,11,9,1,2025-01-01 06:04:00
184,271.73,17,subscriptions,debit_card,3,6,0,2025-01-01 06:06:00
185,1850.82,19,fashion,credit_card,12,10,1,2025-01-01 03:04:00
186,512.58,20,fuel,credit_card,9,0,0,2025-01-01 03:05:00
187,54.48,18,travel,debit_card,3,8,0,2025-01-01 12:24:00
188,114.48,10,groceries,debit_card,11,5,0,2025-01-01 15:35:00
189,110.61,4,fuel,mobile_wallet,5,0,0,2025-01-01 15:40:00
190,1221.24,12,electronics,bank_transfer,4,7,0,2025-01-01 15:45:00
191,135.28,9,travel,mobile_wallet,6,3,0,2025-01-01 06:20:00
192,505.71,16,travel,bank_transfer,3,1,0,2025-01-01 06:22:00
193,659.21,13,subscriptions,bank_transfer,4,9,0,2025-01-01 06:24:00
194,1341.85,15,restaurants,credit_card,8,3,0,2025-01-01 16:05:00
195,1063.69,3,restaurants,bank_transfer,3,0,0,2025-01-01 06:28:00
196,871.72,14,travel,debit_card,4,10,0,2025-01-01 16:15:00
197,473.56,15,fashion,debit_card,6,7,0,2025-01-01 03:16:00
198,1923.29,17,restaurants,mobile_wallet,14,10,1,2025-01-01 03:17:00
199,421.34,5,groceries,credit_card,12,9,0,2025-01-01 06:36:00
200,1712.52,4,gaming,debit_card,2,7,0,2025-01-01 03:19:00
201,1758.07,1,restaurants,mobile_wallet,10,4,0,2025-01-01 06:40:00
202,445.18,9,electronics,credit_card,2,7,0,2025-01-01 06:42:00
203,890.2,2,subscriptions,credit_card,7,7,0,2025-01-01 13:28:00
204,779.22,16,electronics,mobile_wallet,3,5,0,2025-01-01 10:09:00
205,808.41,18,gaming,credit_card,15,0,0,2025-01-01 03:24:00
206,1041.36,6,subscriptions,debit_card,5,9,0,2025-01-01 13:40:00
207,1591.87,6,electronics,mobile_wallet,15,6,1,2025-01-01 17:10:00
208,830.41,22,restaurants,mobile_wallet,13,2,0,2025-01-01 13:48:00
209,1764.45,9,groceries,mobile_wallet,2,10,0,2025-01-01 13:52:00
210,1200.63,10,groceries,credit_card,1,8,0,2025-01-01 06:58:00
211,1356.5,15,electronics,credit_card,13,2,1,2025-01-01 03:30:00
212,672.37,14,subscriptions,credit_card,10,0,0,2025-01-01 10:33:00
213,1578.01,23,fuel,debit_card,4,0,0,2025-01-01 07:04:00
214,1446.72,20,travel,bank_transfer,9,9,1,2025-01-01 14:12:00
215,698.91,15,restaurants,debit_card,5,8,0,2025-01-01 14:16:00
216,1308.25,11,groceries,bank_transfer,13,1,0,2025-01-01 03:35:00
217,1290.9,2,gaming,mobile_wallet,14,7,1,2025-01-01 18:00:00
218,565.4,22,restaurants,mobile_wallet,13,10,0,2025-01-01 07:14:00
219,1799.95,2,subscriptions,credit_card,11,8,1,2025-01-01 10:54:00
220,837.82,1,fashion,mobile_wallet,2,10,0,2025-01-01 18:15:00
221,1826.96,2,restaurants,debit_card,1,10,0,2025-01-01 18:20:00
222,1223.3,10,fashion,credit_card,7,9,0,2025-01-01 11:03:00
223,618.45,23,travel,mobile_wallet,14,7,0,2025-01-01 14:48:00
224,715.13,13,gaming,debit_card,9,9,0,2025-01-01 11:09:00
225,1026.73,23,restaurants,mobile_wallet,9,0,0,2025-01-01 11:12:00
226,374.43,14,subscriptions,bank_transfer,11,0,0,2025-01-01 15:00:00
227,887.11,4,electronics,mobile_wallet,5,4,0,2025-01-01 11:18:00
228,252.13,14,fashion,bank_transfer,11,0,0,2025-01-01 07:34:00
229,1580.75,8,travel,bank_transfer,10,7,0,2025-01-01 19:00:00
230,515.38,13,electronics,mobile_wallet,2,4,0,2025-01-01 11:27:00
231,550.49,23,fuel,bank_transfer,10,2,0,2025-01-01 07:40:00
232,1760.1,4,fashion,debit_card,7,1,0,2025-01-01 19:15:00
233,1428.4,9,travel,mobile_wallet,15,3,1,2025-01-01 15:28:00
234,977.51,22,travel,bank_transfer,3,10,0,2025-01-01 07:46:00
235,1188.47,9,fashion,bank_transfer,15,6,0,2025-01-01 11:42:00
236,1288.57,3,fashion,credit_card,8,7,0,2025-01-01 07:50:00
237,1415.87,19,restaurants,bank_transfer,1,4,0,2025-01-01 03:56:00
238,58.79,23,groceries,credit_card,7,0,0,2025-01-01 07:54:00
239,1344.56,10,gaming,credit_card,8,6,0,2025-01-01 15:52:00
240,1358.04,5,subscriptions,credit_card,10,1,0,2025-01-01 03:59:00
241,569.36,6,travel,debit_card,4,8,0,2025-01-01 08:00:00
242,338.68,18,groceries,debit_card,8,7,0,2025-01-01 08:02:00
243,1157.26,8,fuel,mobile_wallet,12,8,0,2025-01-01 08:04:00
244,1351.14,15,electronics,bank_transfer,3,5,0,2025-01-01 08:06:00
245,1874.99,19,gaming,mobile_wallet,7,1,0,2025-01-01 20:20:00
246,1057.59,2,fashion,debit_card,15,1,0,2025-01-01 16:20:00
247,1994.47,17,electronics,mobile_wallet,15,0,1,2025-01-01 12:18:00
248,1555.72,7,fuel,debit_card,9,8,0,2025-01-01 16:28:00
249,345.21,23,electronics,credit_card,3,9,0,2025-01-01 04:08:00
250,1335.69,9,fuel,bank_transfer,8,6,0,2025-01-01 08:18:00
251,1327.13,22,fashion,bank_transfer,11,8,1,2025-01-01 08:20:00
252,1337.56,2,electronics,mobile_wallet,14,1,1,2025-01-01 20:55:00
253,68.48,11,travel,bank_transfer,4,5,0,2025-01-01 16:48:00
254,1127.29,6,fuel,debit_card,13,7,0,2025-01-01 21:05:00
255,1192.6,0,fuel,bank_transfer,7,7,0,2025-01-01 16:56:00
256,1365.85,15,fashion,debit_card,6,10,0,2025-01-01 21:15:00
257,1323.24,22,fashion,bank_transfer,6,10,0,2025-01-01 04:16:00
258,1407.95,12,subscriptions,mobile_wallet,12,7,0,2025-01-01 17:08:00
259,1321.69,15,restaurants,debit_card,7,9,0,2025-01-01 12:54:00
260,1808.92,3,restaurants,bank_transfer,5,1,0,2025-01-01 12:57:00
261,128.8,23,restaurants,bank_transfer,9,9,0,2025-01-01 17:20:00
262,1742.86,11,travel,bank_transfer,1,5,0,2025-01-01 17:24:00
263,473.28,6,restaurants,debit_card,2,2,0,2025-01-01 04:22:00
264,779.93,10,fashion,mobile_wallet,15,2,0,2025-01-01 04:23:00
265,106.02,16,subscriptions,bank_transfer,8,9,0,2025-01-01 04:24:00
266,413.73,0,restaurants,bank_transfer,7,0,0,2025-01-01 04:25:00
267,995.65,4,subscriptions,credit_card,4,6,0,2025-01-01 17:44:00
268,1917.33,15,fuel,credit_card,10,10,0,2025-01-01 04:27:00
269,625.1,0,travel,mobile_wallet,1,3,0,2025-01-01 17:52:00
270,1875.07,2,restaurants,credit_card,6,0,0,2025-01-01 08:58:00
271,1065.73,6,electronics,debit_card,14,9,1,2025-01-01 18:00:00
272,1768.73,0,travel,debit_card,3,6,0,2025-01-01 04:31:00
273,893.69,1,groceries,credit_card,15,8,0,2025-01-01 04:32:00
274,786.27,14,restaurants,mobile_wallet,4,9,0,2025-01-01 13:39:00
275,1054.58,7,subscriptions,mobile_wallet,11,3,0,2025-01-01 18:16:00
276,239.49,6,gaming,mobile_wallet,14,5,0,2025-01-01 04:35:00
277,770.84,23,restaurants,debit_card,8,4,0,2025-01-01 23:00:00
278,246.06,19,electronics,credit_card,12,10,1,2025-01-01 23:05:00
279,1513.57,3,fashion,debit_card,4,0,0,2025-01-01 13:54:00
280,691.27,19,subscriptions,bank_transfer,8,1,0,2025-01-01 13:57:00
281,1356.44,1,travel,credit_card,10,9,1,2025-01-01 14:00:00
282,444.46,15,fuel,credit_card,6,8,0,2025-01-01 04:41:00
283,1670.68,8,gaming,debit_card,14,7,1,2025-01-01 14:06:00
284,1021.36,12,electronics,bank_transfer,6,9,0,2025-01-01 09:26:00
285,947.58,2,electronics,bank_transfer,15,9,1,2025-01-01 18:56:00
286,320.12,17,subscriptions,mobile_wallet,1,3,0,2025-01-01 14:15:00
287,1366.69,20,restaurants,debit_card,11,4,0,2025-01-01 09:32:00
288,582.6,16,restaurants,bank_transfer,12,7,0,2025-01-01 23:55:00
289,216.3,12,gaming,debit_card,13,2,0,2025-01-01 04:48:00
290,1831.19,6,restaurants,bank_transfer,11,5,0,2025-01-01 19:16:00
291,1891.64,3,fashion,bank_transfer,14,0,0,2025-01-01 19:20:00
292,1708.54,4,subscriptions,bank_transfer,10,3,0,2025-01-01 14:33:00
293,1939.41,18,fuel,mobile_wallet,3,7,0,2025-01-02 00:20:00
294,174.69,3,fuel,debit_card,1,5,0,2025-01-01 04:53:00
295,206.07,11,restaurants,bank_transfer,15,3,0,2025-01-01 04:54:00
296,1678.62,10,restaurants,bank_transfer,5,6,0,2025-01-02 00:35:00
297,47.34,16,groceries,credit_card,5,10,0,2025-01-01 14:48:00
298,285.04,1,electronics,debit_card,1,7,0,2025-01-01 04:57:00
299,462.72,14,gaming,debit_card,11,2,0,2025-01-01 09:56:00
300,1295.33,2,restaurants,debit_card,2,8,0,2025-01-01 04:59:00
301,492.21,0,travel,debit_card,6,8,0,2025-01-01 20:00:00
302,1754.09,16,electronics,mobile_wallet,10,10,1,2025-01-01 10:02:00
303,1962.49,9,restaurants,debit_card,3,0,0,2025-01-01 20:08:00
304,1064.28,16,restaurants,bank_transfer,9,9,0,2025-01-01 15:09:00
305,260.92,17,subscriptions,credit_card,14,1,0,2025-01-02 01:20:00
306,305.92,6,travel,mobile_wallet,15,6,0,2025-01-02 01:25:00
307,1403.29,23,gaming,debit_card,4,2,0,2025-01-01 20:24:00
308,1665.99,9,travel,mobile_wallet,7,1,0,2025-01-01 20:28:00
309,466.01,16,restaurants,bank_transfer,9,7,0,2025-01-01 10:16:00
310,1961.12,17,restaurants,debit_card,5,7,0,2025-01-01 10:18:00
311,271.88,5,electronics,mobile_wallet,3,9,0,2025-01-01 15:30:00
312,900.65,3,groceries,credit_card,3,4,0,2025-01-01 10:22:00
313,69.82,21,fuel,credit_card,15,2,0,2025-01-02 02:00:00
314,1139.8,10,gaming,credit_card,14,10,1,2025-01-01 10:26:00
315,216.79,19,electronics,bank_transfer,4,4,0,2025-01-01 05:14:00
316,1736.99,14,electronics,mobile_wallet,4,10,1,2025-01-01 05:15:00
317,389.88,14,travel,debit_card,7,4,0,2025-01-01 21:04:00
318,1609.54,4,fuel,mobile_wallet,11,9,1,2025-01-02 02:25:00
319,610.54,19,fashion,bank_transfer,7,6,0,2025-01-01 10:36:00
320,237.23,19,subscriptions,debit_card,15,5,0,2025-01-01 15:57:00
321,491.76,17,travel,debit_card,7,2,0,2025-01-01 21:20:00
322,508.58,21,fashion,mobile_wallet,6,2,0,2025-01-01 05:21:00
323,1952.05,11,travel,credit_card,8,5,0,2025-01-01 21:28:00
324,926.74,17,travel,credit_card,6,10,0,2025-01-02 02:55:00
325,1130.66,14,restaurants,mobile_wallet,7,0,0,2025-01-01 05:24:00
326,1383.43,6,groceries,bank_transfer,3,0,0,2025-01-01 10:50:00
327,755.21,12,restaurants,mobile_wallet,10,7,0,2025-01-01 21:44:00
328,1220.33,13,gaming,credit_card,5,8,1,2025-01-01 16:21:00
329,617.81,8,electronics,mobile_wallet,6,4,0,2025-01-01 16:24:00
330,1820.36,11,restaurants,credit_card,11,2,0,2025-01-01 16:27:00
331,847.75,9,fashion,mobile_wallet,5,3,0,2025-01-01 16:30:00
332,1258.96,2,restaurants,credit_card,14,2,0,2025-01-01 16:33:00
333,1483.57,14,fashion,credit_card,11,9,1,2025-01-01 05:32:00
334,374.74,11,restaurants,credit_card,1,7,0,2025-01-01 22:12:00
335,1251.0,11,fuel,bank_transfer,12,1,0,2025-01-01 05:34:00
336,1098.01,12,fuel,debit_card,14,6,0,2025-01-01 05:35:00
337,772.5,13,fuel,bank_transfer,5,7,0,2025-01-01 22:24:00
338,1862.6,22,gaming,mobile_wallet,6,7,0,2025-01-01 05:37:00
339,1831.17,4,restaurants,mobile_wallet,13,4,0,2025-01-01 22:32:00
340,1585.31,12,travel,mobile_wallet,14,4,1,2025-01-01 22:36:00
341,1872.59,17,electronics,debit_card,1,1,0,2025-01-01 05:40:00
342,729.24,2,electronics,mobile_wallet,11,2,0,2025-01-01 17:03:00
343,1640.28,21,fuel,mobile_wallet,1,6,0,2025-01-02 04:30:00
344,23.23,20,travel,credit_card,14,10,1,2025-01-01 11:26:00
345,436.18,3,electronics,debit_card,1,4,0,2025-01-01 11:28:00
346,1196.32,14,restaurants,bank_transfer,11,9,0,2025-01-01 11:30:00
347,639.87,12,gaming,credit_card,15,4,0,2025-01-01 23:04:00
348,158.16,11,restaurants,debit_card,11,4,0,2025-01-01 11:34:00
349,1385.78,21,groceries,mobile_wallet,14,3,0,2025-01-01 05:48:00
350,918.16,15,restaurants,credit_card,9,1,0,2025-01-02 05:05:00
351,1610.17,9,fuel,mobile_wallet,10,10,0,2025-01-01 11:40:00
352,1132.38,15,gaming,mobile_wallet,15,6,0,2025-01-01 11:42:00
353,763.87,5,groceries,mobile_wallet,13,3,0,2025-01-02 05:20:00
354,1702.87,0,electronics,debit_card,1,2,0,2025-01-01 05:53:00
355,1152.48,1,gaming,credit_card,10,6,0,2025-01-01 23:36:00
356,1102.84,13,fashion,credit_card,10,9,0,2025-01-02 05:35:00
357,539.32,10,subscriptions,credit_card,10,2,0,2025-01-01 17:48:00
358,1321.79,16,electronics,credit_card,12,0,1,2025-01-01 05:57:00
359,951.44,23,subscriptions,credit_card,15,8,0,2025-01-01 11:56:00
360,1614.84,17,restaurants,mobile_wallet,15,1,0,2025-01-01 11:58:00
361,1694.7,6,travel,credit_card,9,5,0,2025-01-02 06:00:00
362,1443.98,4,electronics,credit_card,10,9,1,2025-01-01 06:01:00
363,660.99,22,travel,debit_card,3,10,0,2025-01-02 06:10:00
364,1029.07,11,subscriptions,credit_card,9,8,0,2025-01-02 00:12:00
365,196.39,8,groceries,mobile_wallet,3,2,0,2025-01-01 06:04:00
